# All
"Example","样例"

# Settings table
"Subversion authorization","Subversion 授权"
"Subversion authorization file","Subversion 授权文件"
"<b>AuthzSVNAccessFile</b> in http.conf for mod_svn","<b>AuthzSVNAccessFile</b> 位于 http.conf 中, 用于 mod_svn"
"Subversion authorization global group file","Subversion 全局用户组文件"
"<b>AuthzSVNGroupsFile</b> in http.conf for mod_svn","<b>AuthzSVNGroupsFile</b> 位于 http.conf 中, 用于 mod_svn"
"<b>AuthzVisualSVNSubversionGroupsFile</b> in http.conf for visualsvn-server","<b>AuthzVisualSVNSubversionGroupsFile</b> 位于 http.conf 中, 用于 visualsvn-server"
"Subversion authorization file in repository, relative to &lt;SVNParentPath&gt;/&lt;repo1&gt;/conf","Subversion 分库授权文件, 路径相对于 &lt;SVNParentPath&gt;/&lt;repo1&gt;/conf"
"<b>AuthzSVNReposRelativeAccessFile</b> in http.conf for mod_svn","<b>AuthzSVNReposRelativeAccessFile</b> 位于 http.conf 中, 用于 mod_svn"
"<b>AuthzVisualSVNSubversionReposRelativeAccessFile</b> in http.conf for visualsvn-server","<b>AuthzVisualSVNSubversionReposRelativeAccessFile</b> 位于 http.conf 中, 用于 visualsvn-server"

"Data providers","数据提供者"
"User authentication","用户身份验证"
"User authentication file (SVNUserFile)","用户身份验证文件 (SVNUserFile)"
"Subversion settings","Subversion 设置"
"Parent directory of the repositories (SVNParentPath)","代码仓库的父目录 (SVNParentPath)"
"Subversion client executable","'svn.exe' 或 'svn'可执行文件："
"Subversion admin executable","'svnadmin.exe' 或 'svnadmin' 可执行文件："
"LDAP connection information","LDAP 连接信息"
"Host address","LDAP主机地址 "
"Protocol version","LDAP 协议版本"
"LDAP user provider information","LDAP 用户信息"
"LDAP group provider information","LDAP 用户组信息"

"GUI settings","GUI 设置"
"ApacheDirectoryListing and CustomDirectoryListing's Placeholders: <br/> %1=Repository name; %2=Relative path (no leading slash)","ApacheDirectoryListing 与 CustomDirectoryListing 配置项所用占位符: <br/> %1=仓库名称; %2=相对路径 (无前缀/)"
"The web url to the Apache WebDAV directory listing (ApacheDirectoryListing)","SVN 检出网址 (ApacheDirectoryListing)"
"The web url to the custom web-application to browse the subversion repository <br/> (e.g. ViewVC, WebSVN, ...) (CustomDirectoryListing)","SVN 自定义查看网址 (CustomDirectoryListing)<br/> (比如. ViewVC, WebSVN, ...)"

# No users, no edit provider
"You have not defined an "UserEditProviderType", but the system also could not find any user from the configured user view provider.","您并未定义 "UserEditProviderType" . 且系统未从用户数据提供方 发现任何用户 ."
"You should now create a new user in your configured backend (e.g.: LDAP/Active Directory).","您现在应该在您的配置文件中添加一个新的用户 (例如: LDAP/Active Directory)."
"If you think your configuration is incorrect, <a href="settings.php?firststart=1">click here.</a>","如果认为您的配置有误，请单击 <a href="settings.php?firststart=1">.</a>"

# Define administrator
"Could not find existing users with your configuration. Created default Administrator account.","未从您的配置文件中找到用户，创建一个默认的Admin帐户."
"You can <a href="login.php"><b>login now.</b></a>"," <a href="login.php"><b>登录.</b></a>"
"No administrator defined! Select the user for the administator privileges, please.","并无权限！请配置用户的admin权限"
"Save configuration","保存配置"
